use property
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (1, 'lift_chair', 'Decoration', '15x133x67', 'hallway', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (2, 'hutch', 'For working', '51x51x123', 'attic', 'green', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (3, 'deck_chair', 'For working', '4x138x195', 'cellar', 'pink', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (4, 'picnic_table', 'For relaxing', '14x135x155', 'closet', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (5, 'hammock', 'For storage', '97x150x53', 'office', 'gray', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (6, 'valet', 'For use', '99x48x113', 'office', 'red', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (7, 'vanity', 'For relaxing', '68x39x162', 'dining room', 'gray', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (8, 'sconce', 'For storage', '87x32x177', 'master bedroom', 'white', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (9, 'headboard', 'For use', '89x35x118', 'master bedroom', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (10, 'dining_room_table', 'For storage', '46x65x23', 'patio', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (11, 'display_cabinet', 'For working', '70x90x50', 'sun room', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (12, 'sofabed', 'For storage', '72x40x196', 'living room', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (13, 'kitchen_island', 'For use', '35x65x102', 'bedroom', 'yellow', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (14, 'shoji_screen', 'For relaxing', '30x146x45', 'dining room', 'blue', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (15, 'easy_chair', 'For storage', '66x53x114', 'hallway', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (16, 'canopy_bed', 'For relaxing', '33x143x82', 'closet', 'brown', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (17, 'desk_chair', 'For use', '75x57x124', 'basement', 'blue', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (18, 'mattress', 'For relaxing', '89x32x188', 'living room', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (19, 'work_table', 'For relaxing', '61x39x34', 'hallway', 'brown', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (20, 'cupboard', 'For storage', '43x87x191', 'kitchen', 'yellow', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (21, 'kitchen_island', 'For working', '13x4x15', 'garage', 'blue', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (22, 'lounge_chair', 'For storage', '99x131x103', 'den', 'orange', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (23, 'desk_chair', 'For working', '95x67x132', 'pantry', 'yellow', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (24, 'hall_tree', 'For use', '23x89x56', 'hallway', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (25, 'lintel', 'For use', '29x123x52', 'staircase', 'yellow', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (26, 'cart', 'For storage', '56x11x191', 'playroom', 'pink', 'no', 0);
